codice,descrizione,quantita,
3100111-Y01,Pneumatico (155/60-R15),1,MY22 MY22.5
3100112-Y01,Pneumatico quattro stagioni (155/60-R15),1,MY22 MY22.5
"3100105-Y01,Cerchio in alluminio 15"",1,MY22 MY22.5 MY24"
3100113-Y01TR413,Valvola ruota,1,MY22 MY22.5
3106106Y0240,Dado ruota (cerchio acciaio),4,MY22 MY22.5 MY24
3400000-Y01,Sistema sterzo,1,MY22
Q1841050,Bullone esagonale con flangia,2,MY22 MY22.5
3400114-Y01,Copertura antipolvere,2,MY22 MY22.5
3500000-Y01,Sistema frenante,1,MY22
3508100-Y01,Assieme meccanismo freno di stazionamento,1,MY22 MY22.5
3508102-Y01,Cavo freno stazionamento sezione anteriore,1,MY22 MY22.5
3508103-Y01,Cavo freno stazionamento posteriore sinistro,1,MY22 MY22.5
3508104-Y01,Cavo freno stazionamento posteriore destro,1,MY22 MY22.5
3506048-Y01,Anello ritegno molla cavo freno,1,MY22 MY22.5
3540102-Y01,Assieme serbatoio vuoto,1,MY22 MY22.5
3540121-Y01,Serbatoio vuoto,1,MY22 MY22.5
3540122-Y01,Tappo tenuta,1,MY22 MY22.5
3540123-Y01,Assieme controller,1,MY22 MY22.5
3540124-Y01,Tubo silicone (655),1,MY22 MY22.5
3540125-Y01,Fascetta tubo,2,MY22 MY22.5
Q67405100,Fascetta plastica,1,MY22
3540103-Y01,Assieme pompa vuoto elettronica,1,MY22 MY22.5
3540131-Y01,Pompa vuoto,1,MY22 MY22.5
3540132-Y01,Manicotto ammortizzante,4,MY22 MY22.5
3540133-Y01,Tubo gomma 90 5mm,1,MY22 MY22.5
3540134-Y01,Filtro,1,MY22 MY22.5
3540135-Y01,Tubo gomma 115 5mm,1,MY22 MY22.5
3540136-Y01,Giunzione a T,1,MY22 MY22.5
3540101-Y01,Servofreno con cilindro maestro,1,MY22 MY22.5
3540111-Y01,Servofreno,1,MY22 MY22.5
3540113-Y01,Oliatore,1,MY22 MY22.5
3540114-Y01,Tappo serbatoio fluido,5,MY22 MY22.5
3506105-Y01,Anello ritegno tubo freno,4,MY22 MY22.5
3506106-Y01,Bullone cavo,4,MY22 MY22.5
3506112-Y01,Tubo freno posteriore,2,MY22 MY22.5
3504101-Y01,Assieme pedale freno,1,MY22 MY22.5
3506109-Y01,Tubo freno anteriore sinistro,1,MY22 MY22.5
3506111-Y01,Tubo freno anteriore destro,1,MY22 MY22.5
3506114-Y01,Tubo freno posteriore destro sezione anteriore,1,MY22 MY22.5
3506121-Y01,Tubo freno posteriore destro sezione posteriore,1,MY22 MY22.5
3506115-Y01,Tubo freno posteriore sinistro sezione anteriore,1,MY22 MY22.5
3506122-Y01,Tubo freno posteriore sinistro sezione posteriore,1,MY22 MY22.5
3506101-Y01,Tubo cilindro maestro ? ABS,2,MY22 MY22.5
3506107-Y01,Rondella in rame,8,MY22 MY22.5
Q1860816,Bullone flangiato esagonale,4,MY22
3506104-Y01,Tubo freno anteriore,2,MY22 MY22.5
5010010-Y01,Assieme scocca grezza,1,MY22
5101210-Y01,Assieme telaio vano anteriore,1,MY22
5101170-Y01,Assieme telaio pavimento intermedio,1,MY22 MY22.5
5101230-Y01,Assieme telaio pavimento posteriore,1,MY22 MY22.5
5301000-Y01,Assieme parete anteriore,1,MY22
5101750-Y01,Assieme sedile cassa,1,MY22 MY22.5
5601110-Y01,Assieme pannello esterno parete posteriore,1,MY22 MY22.5
5101900-Y01,Assieme pannello accesso,1,MY22
5101903-Y01,Guarnizione pannello accesso,1,MY22 MY22.5
5101273-Y01,Staffa montaggio condensatore,2,MY22 MY22.5
6101010-Y01,Assieme saldatura porta sinistra,1,MY22 MY22.5
6101020-Y01,Assieme saldatura porta destra,1,MY22 MY22.5
6106010-Y01,Cerniera superiore porta laterale,2,MY22 MY22.5
6106030-Y01,Cerniera inferiore porta laterale,2,MY22 MY22.5
6301710-Y01,Assieme traversa superiore telaio interno portellone,1,MY22 MY22.5
6306310-Y01,Cerniera portellone,2,MY22
Q2734812,Vite autofilettante testa larga semitonda a croce,6,MY22 MY22.5
5101263-Y01,Staffa montaggio tubo freno posteriore sinistro,1,MY22 MY22.5
5101264-Y01,Staffa montaggio tubo freno posteriore destro,1,MY22 MY22.5
5101216-Y01,Staffa montaggio allarme bassa velocità,1,MY22 MY22.5
5301700-Y01,Assieme trave cruscotto,1,MY22
5301710-Y01,Assieme trave cruscotto,1,MY22 MY22.5
ZH2204-21,Dado a lamella tipo A,4,MY22 MY22.5
5107000-Y01,Sistema tappi chiusura,1,MY22
5107011-Y01,Tappo chiusura Ø10,11,MY22 MY22.5 MY24
5107016-Y01,Tappo chiusura Ø15,2,MY22 MY22.5 MY24
5107013-Y01,Tappo chiusura Ø20,16,MY22 MY22.5 MY24
5107015-Y01,Tappo chiusura Ø30,6,MY22 MY22.5 MY24
5107014-Y01,Tappo chiusura Ø40,4,MY22 MY22.5 MY24
5107017-Y01,Sticker foro PET Ø20,2,MY22 MY22.5
5107018-Y01,Sticker foro PET Ø25,4,MY22 MY22.5
5107019-Y01,Sticker foro PET Ø30,1,MY22 MY22.5
3400105-Y01,Boccola colonna sterzo,1,MY22 MY22.5
5107021-Y01,Tappo tubo quadro 40×40 M3,2,MY22 MY22.5
6309100-Y01,Sistema barra sostegno portellone,1,MY22
6101000-Y01,Assieme rivestimento guida gomma,1,MY22
6101760-Y01,Assieme rivestimento guida anteriore porta sinistra,1,MY22 MY22.5
6101740-Y01,Assieme rivestimento guida anteriore porta destra,1,MY22 MY22.5
6101730-Y01,Assieme rivestimento guida posteriore porta sinistra,1,MY22 MY22.5
6107133-Y01,Blocco montaggio finestrino triangolare posteriore sinistro,1,MY22 MY22.5
6101750-Y01,Assieme rivestimento guida posteriore porta destra,1,MY22 MY22.5
6107134-Y01,Blocco montaggio finestrino triangolare posteriore destro,1,MY22 MY22.5
6105000-Y01,Sistema serrature,1,MY22
6105100-Y01,Serratura elettronica porta sinistra,1,MY22 MY22.5
6105101-Y01,Corpo serratura elettronica porta sinistra,1,MY22 MY22.5
6105103-Y01,Asta serratura elettronica porta sinistra,1,MY22 MY22.5
6105105-Y01,Asta serratura elettronica cilindro porta sinistra,1,MY22 MY22.5
6105111-Y01,Cavo serratura elettronica porta sinistra,1,MY22 MY22.5
Q2400614,Vite testa svasata a croce con rondella dentata esterna,6,MY22 MY22.5
Q2580816,Vite testa svasata a croce con rondella dentata esterna,6,MY22 MY22.5
6105200-Y01,Sistema serratura elettronica porta destra,1,MY22 MY22.5
6105102-Y01,Corpo serratura elettronica porta destra,1,MY22 MY22.5
6105104-Y01,Asta serratura elettronica porta destra,1,MY22 MY22.5
6105112-Y01,Cavo serratura elettronica porta destra,1,MY22 MY22.5
5606010-Y01,Sistema serratura elettrica portellone,1,MY22 MY22.5
5606030-Y01,Sistema estrazione copertura porta di ricarica,1,MY22 MY22.5
157-00135(HTC),Fascetta fermacavo con perno,2,MY22 MY22.5
6107000-Y01,Sistema guarnizioni,1,MY22
6307111-Y01,Guarnizione portellone,1,MY22 MY22.5
6107117-Y01,Guarnizione esterna vetro porta sinistra,1,MY22 MY22.5
6107118-Y01,Guarnizione esterna vetro porta destra,1,MY22 MY22.5
6107121-Y01,Guarnizione interna vetro porta sinistra,1,MY22 MY22.5
6107122-Y01,Guarnizione interna vetro porta destra,1,MY22 MY22.5
6107111-Y01,Guarnizione apertura porta anteriore sinistra,1,MY22 MY22.5
6107112-Y01,Guarnizione apertura porta anteriore destra,1,MY22 MY22.5
5206011-Y01,Guarnizione parabrezza anteriore,1,MY22 MY22.5
5701211-Y01,Guarnizione tetto apribile sinistra,1,MY22 MY22.5
5701212-Y01,Guarnizione tetto apribile destra,1,MY22 MY22.5
6107131-Y01,Guarnizione finestrino triangolare anteriore sinistro,1,MY22 MY22.5
6107132-Y01,Guarnizione finestrino triangolare anteriore destro,1,MY22 MY22.5
6107135-Y01,Guarnizione superiore scatola batteria,1,MY22 MY22.5
6107136-Y01,Guarnizione inferiore scatola batteria,1,MY22 MY22.5
6107115-Y01,Canalina fango anteriore porta sinistra,1,MY22 MY22.5
6107127-Y01,Canalina fango posteriore porta sinistra,1,MY22 MY22.5
6107116-Y01,Canalina fango anteriore porta destra,1,MY22 MY22.5
6107128-Y01,Canalina fango posteriore porta destra,1,MY22 MY22.5
6104000-Y01,Sistema alzacristalli,1,MY22
6104110-Y01,Assieme alzacristalli elettrico porta sinistra (tipo Hall),1,MY22 MY22.5
6104110-Y01-A,Assieme alzacristalli elettrico porta sinistra (non Hall),1,MY22
6104120-Y01,Assieme alzacristalli elettrico porta destra (tipo Hall),1,MY22 MY22.5
6104120-Y01-A,Assieme alzacristalli elettrico porta destra (non Hall),1,MY22
6105500-Y01,Sistema maniglia esterna,1,MY22
8202000-Y01,Sistema specchietto retrovisore esterno,1,MY22
8202010-Y01D,Assieme specchietto retrovisore esterno sinistro,1,MY22 MY22.5
8202011-Y01D,Assieme specchietto retrovisore esterno sinistro,1,MY22 MY22.5
8202020-Y01D,Assieme specchietto retrovisore esterno destro,1,MY22 MY22.5
8202021-Y01D,Assieme specchietto retrovisore esterno destro,1,MY22 MY22.5
2804200-Y01,Sistema cerniera paraurti posteriore,1,MY22
2804201-Y01,Assieme cerniera paraurti posteriore sinistra,1,MY22 MY22.5
2804202-Y01,Assieme cerniera paraurti anteriore destra,1,MY22 MY22.5
Q1460816,Bullone testa esagonale con rondella elastica e rondella piana,4,MY22 MY22.5
8208130-Y01,Sistema catadiottro,1,MY22
8200150-Y01,Assieme pedana di benvenuto,1,MY22
8204001-Y01,Sistema aletta parasole,1,MY22
5810001-Y01,Sistema cintura di sicurezza,1,MY22
8201001-Y01,Sistema specchietto retrovisore interno,1,MY22
5305010-Y01,Assieme accessori cruscotto ausiliario,1,MY22
8104010-Y01,Assieme griglia ventilazione,1,MY22
8104011-Y01,Griglia ventilazione,2,MY22
6105300-Y01,Sistema maniglia interna,1,MY22
6800100-Y01,Sistema sedili,1,MY22
6800010-Y01,Assieme sedile anteriore sinistro,1,MY22 MY22.5
6900010-Y01,Assieme sedile anteriore destro,1,MY22 MY22.5
6800101-Y01,Copertura staffa sedile,4,MY22 MY22.5
Q1860825,Bullone esagonale con flangia,8,MY22 MY22.5
Q402B08F62,Rondella bullone montaggio sedile,8,MY22
3900010-Y01,Sistema attrezzi veicolo,1,MY22
5528250-Y01,Assieme tasca porta cartina con cordino,1,MY22
5528013-Y01,Assieme cordino tasca porta cartina,2,MY22 MY22.5
5528015-Y01,Rete portaoggetti passeggero anteriore,1,MY22 MY22.5
S29404001,Vite autofilettante testa larga semitonda a croce,5,MY22 MY22.5
6101900-Y01,Assieme membrana impermeabile porta,1,MY22
8200100-Y01,Sistema tampone gomma sollevatore,1,MY22
5306150-Y01,Assieme identificazione veicolo,1,MY22
5306153-Y01,Etichetta specifiche ventola condensatore,1,MY22 MY22.5
5306154-Y01,Etichetta refrigerante A/C,1,MY22 MY22.5
5306163-Y01,Etichetta pneumatico - 14,1,MY22 MY22.5
5306164-Y01,Etichetta pneumatico - 15,1,MY22 MY22.5
4100000-Y01,Sistema luci,1,MY22
4108010-Y01,Assieme luce targa,2,MY22 MY22.5
4123010-Y01,Luce plafoniera,1,MY22 MY22.5
4133010-Y01-B,Assieme luce combinata posteriore sinistra,1,MY22
4133010-Y01-A,Assieme luce combinata posteriore sinistra,1,MY22
ZH860,Fermaglio luce posteriore,4,MY22 MY22.5
4133020-Y01-B,Assieme luce combinata posteriore destra,1,MY22
4133020-Y01-A,Assieme luce combinata posteriore destra,1,MY22
5702001-Y01,Sistema tetto,1,MY22
5702010-Y01D,Assieme copertura tetto,1,MY22
5702015-Y01,Nastro adesivo butilico impermeabile,1,MY22 MY22.5
5702017-Y01,Rondella impermeabile copertura tetto,4,MY22 MY22.5
802011,Sigillante parabrezza anteriore (morbido),1,MY22
5400009-Y01,Sistema esterno parete laterale,1,MY22
5400010-Y01D,Assieme pannello rifinitura superiore parete sinistra anteriore,1,MY22 MY22.5
5400030-Y01D,Assieme pannello rifinitura superiore parete sinistra posteriore,1,MY22 MY22.5
5400331-Y01,Piccola rifinitura esterna lato sinistro,1,MY22
5400332-Y01,Piccola rifinitura interna lato sinistro,1,MY22
5400020-Y01D,Assieme pannello rifinitura superiore parete destra anteriore,1,MY22 MY22.5
5400040-Y01D,Assieme pannello rifinitura superiore parete destra posteriore,1,MY22 MY22.5
5400341-Y01,Piccola rifinitura esterna lato destro,1,MY22
5400342-Y01,Piccola rifinitura interna lato destro,1,MY22
8403100-Y01,Sistema parafango,1,MY22
5302000-Y01,Sistema pannello rifinitura inferiore parabrezza,1,MY22
5302003-Y01,Corpo canalina flusso anteriore,1,MY22
8402500-Y01,Sistema rifinitura cofano,1,MY22
B8402510-Y01D,Assieme cofano anteriore,1,MY22
8402517Y01A,Supporto cofano sinistro,1,MY22
8402518Y01A,Supporto cofano destro,1,MY22
5302010-Y01,Assieme piastra copertura porta di ricarica anteriore,1,MY22
5302011-Y01D,Piastra copertura porta di ricarica anteriore,1,MY22 MY22.5
5302013-Y01,Piastra interna porta di ricarica anteriore,1,MY22
5302015-Y01,Base porta di ricarica anteriore,1,MY22
5302017-Y01,Perno rotante porta di ricarica anteriore,1,MY22
Q5002525,Spina di sicurezza,1,MY22
Z054,Molla,1,MY22
5302030-Y01,Assieme base porta di ricarica anteriore,1,MY22 MY22.5
2803000-Y01,Sistema paraurti anteriore,1,MY22
2803010-Y01D,Assieme corpo paraurti anteriore,1,MY22 MY22.5
2803001-Y01D,Corpo paraurti anteriore,1,MY22 MY22.5
Z039,Vite,4,MY22 MY22.5
2804500-Y01,Sistema paraurti posteriore,1,MY22
2804520-Y01D,Assieme porta mobile paraurti posteriore,1,MY22 MY22.5
2804515-Y01,Bullone antifurto M8*45,2,MY22 MY22.5
2804507,Tappo chiusura Ø25,2,MY22 MY22.5
5306001-Y01,Sistema cruscotto,1,MY22
5306131-Y01,Quadro strumenti,1,MY22 MY22.5
5306104-Y01,Condotto aria uscita centrale,1,MY22 MY22.5
5306136-Y01,Condotto sbrinamento sinistro,1,MY22 MY22.5
5306141-Y01,Condotto sbrinamento destro,1,MY22 MY22.5
5306030-Y01,Assieme sbrinatore anteriore,1,MY22 MY22.5
5306002-Y01,Sistema scudo interruttore combinato,1,MY22
3774011-Y01,Protezione sterzo superiore,1,MY22 MY22.5
3774013-Y01,Protezione sterzo inferiore,1,MY22 MY22.5
5305001-Y01,Sistema cruscotto ausiliario,1,MY22
5402001-Y01,Sistema pannello protezione montante,1,MY22
5402021-Y01,Pannello protezione interno parete anteriore destra,1,MY22 MY22.5
5703001-Y01,Sistema interni e rivestimento tetto,1,MY22
6102001-Y01,Sistema porta anteriore,1,MY22
6102071-Y01,Pannello rifinitura finestrino anteriore sinistro,1,MY22 MY22.5
6102075-Y01D,Pannello esterno porta sinistra,1,MY22 MY22.5
6102073-Y01D,Pannello superiore porta sinistra,1,MY22 MY22.5
6102011-Y01,Pannello interno porta sinistra,1,MY22 MY22.5
6102079-Y01,Piastra montaggio interruttore PE,1,MY22 MY22.5
6102081-Y01,Pannello rifinitura finestrino anteriore destro,1,MY22 MY22.5
6102076-Y01D,Pannello esterno porta destra,1,MY22 MY22.5
6102040-Y01,Assieme pannello interno porta destra,1,MY22 MY22.5
6102021-Y01,Pannello interno porta destra,1,MY22 MY22.5
6302001-Y01,Sistema portellone,1,MY22
6302010-Y01,Assieme portellone,1,MY22 MY22.5
3100107-Y01,Copertura rifinitura cerchio acciaio,4,MY22 MY22.5
3100108-Y01,Copertura rifinitura cerchio acciaio,4,MY22 MY22.5
5200010-Y01,Sistema vetro parabrezza,1,MY22
5109100-Y01,Sistema tappeto,1,MY22
5109101-Y01,Corpo tappeto,1,MY22 MY22.5
5109106-Y01,Cuscino isolante I tappeto,1,MY22 MY22.5
5109107-Y01,Cuscino isolante II tappeto,1,MY22 MY22.5
5109108-Y01,Cuscino isolante III tappeto,2,MY22 MY22.5
2101010Y0205,Scatola batteria di potenza,1,MY22.5
2101014-Y01,Assieme scatola batteria,1,MY22.5
210101AY0205,Cablaggio negativo batteria,1,MY22.5
210101CY0205,Cablaggio comunicazione scatola batteria,1,MY22.5
2101020Y0205,Modulo batteria di potenza,3,MY22.5
2101011Y0205,Unità campionamento batteria BSU,3,MY22.5
2109013Y0205,Staffa montaggio BSU sinistra,3,MY22.5
2109014Y0205,Staffa montaggio BSU destra,3,MY22.5
2109010Y0205,Scatola controllo sistema di potenza (ex HV box),1,MY22.5
2109011Y0205,Corpo scatola controllo sistema di potenza,1,MY22.5
2101012Y0205,Scatola campionamento HV,1,MY22.5
2109113Y0205,Cablaggio comunicazione scatola alta tensione,1,MY22.5
2105030Y0205,Cablaggio alta tensione sistema ausiliario,1,MY22.5
2107020Y0200,Base ricarica standard europea,1,MY22.5
2108010Y0205,Unità controllo veicolo,1,MY22.5
3601010Y0205,Modulo controllo carrozzeria BCM,1,MY22.5
4002010Y0205,Cablaggio ausiliario,1,MY22.5
4003010Y0205,Assieme cablaggio principale,1,MY22.5
4003020Y0205,Assieme cablaggio cruscotto ausiliario,1,MY22.5
8103011Y0205,Staffa compressore elettrico,1,MY22.5
8105010Y0205,Assieme condensatore,1,MY22.5
8108010Y0205,Tubo aspirazione compressore (EU filler),1,MY22.5
8108020Y0205,Tubo scarico compressore,1,MY22.5
8108030Y0205,Tubo ingresso fluido serbatoio evaporazione,1,MY22.5
8112010Y0205,Assieme pannello controllo climatizzatore,1,MY22.5
Q38312,Dado scanalato esagonale tipo II,2,MY22.5
Q5003222,Spina di sicurezza,2,MY22.5
Q67405150,Fascetta plastica,1,MY22.5
5010010Y0205,Assieme scocca grezza,1,MY22.5
5101210Y0205,Assieme telaio vano anteriore,1,MY22.5
5301000Y0205,Assieme parete anteriore,1,MY22.5
Q2620625,Vite testa tonda a croce M5*16,4,MY22.5
8402510-Y01D,Assieme cofano anteriore,1,MY22.5
3508100Y0230,Maniglia freno di stazionamento,1,MY24
3508200Y0230,Cavo freno stazionamento anteriore,1,MY24
3508300Y0230,Cavo freno stazionamento sinistro,1,MY24
3508400Y0230,Cavo freno stazionamento destro,1,MY24
S99035001,Fascetta universale tubo Ø20Ø10,1,MY24
3540102Y0240-Z001,Assieme serbatoio vuoto con sensore,1,MY24
3540103Y0240-Z001,Assieme pompa vuoto elettronica con tubo scarico,1,MY24
3540104Y0240,Tubo ventilazione pompa vuoto elettronica,1,MY24
3540400Y0240,Tubo vuoto,1,MY24
S18406002,Bulloni flangiati esagonali M6*45 Dacromet argento,2,MY24
3506011Y0240,Primo tubo rigido uscita olio,1
3506012Y0240,Secondo tubo rigido uscita olio,1,MY24
3506013Y0240,Tubo freno anteriore sinistro,1,MY24
3506014Y0240,Tubo freno anteriore destro,1,MY24
3506015Y0240,Tubo rigido freno posteriore sinistro I,1,MY24
3506016Y0240,Tubo rigido freno posteriore destro I,1,MY24
3506100Y0230,Tubo flessibile freno anteriore sinistro,1,MY24
3506116Y0240,Clip tubo foro singolo,2,MY24
3506200Y0230,Tubo flessibile freno anteriore destro,1,MY24
3550300Y0240,Sensore velocità ruota anteriore sinistra,1,MY24
3550400Y0240,Sensore velocità ruota anteriore destra,1,MY24
3506113Y0240,Clip tubo doppio foro,2,MY24
3506300Y0240,Assieme tubo flessibile freno posteriore,2,MY24
3506020Y0230,Tubo rigido freno posteriore III,2,MY24
3506017Y0240,Tubo rigido freno posteriore sinistro II,1,MY24
3506018Y0240,Tubo rigido freno posteriore destro II,5,MY24
3550500Y0240B,Sensore velocità ruota posteriore sinistra,1,MY24
3550600Y0240B,Sensore velocità ruota posteriore destra,1,MY24
3550100Y0230,Assieme controller ABS,1,MY24
3569100Y0240,Assieme pedale freno,1,MY24
3540113Y0210,Tappo serbatoio liquido freni,1,MY24
2914300Y0240,Assieme barra di spinta,2,MY24
S18512901,Bullone flangiato esagonale M12*90*P1.25 Dacromet argento classe 10.9,2,MY24
3100101Y0230,Pneumatico (155/70-R13),4,MY24
3100106Y0230,Cerchio in acciaio 13 pollici,4,MY24
3100102Y0240,Valvola gonfiaggio (TR418),4,MY24
5306163Y0230,Etichetta pneumatico - 13 pollici,1,MY24
3100101Y0241,Pneumatico (155/60-R15),4,MY24
3100102Y0241,Valvola gonfiaggio (TR413),4,MY24
5306164Y0210,Etichetta pneumatico - 15,1,MY24
Z3400104Y0240,Volante con assieme interruttori,1,MY24
3400104Y0240,Assieme volante,1,MY24
3400135Y0230,Copertura clacson,1,MY24
3400102Y0230,Assieme albero sterzo inferiore,1,MY24
Q32312F61,Dado volante,1,MY24
3400161Y0210,Colonna sterzo con motore,1,MY24
3400162Y0210,Giunto universale colonna sterzo,1,MY24
Q1420830T13F61,Bullone testa esagonale con rondella elastica,1,MY24
3400166Y0210,Bullone testa esagonale con rondella elastica e rondella piana,2,MY24
3400165Y0210,Staffa controller EPS,1,MY24
3400164Y0210,Controller EPS,1,MY24
S18608006,Bullone flangiato esagonale M8*70 zincatura colorata T,1,MY24
3400101Y0230,Assieme scatola guida con tiranti,1,MY24
S50032002,Spina di sicurezza,2,MY24
Q381B12,Dado scanalato esagonale tipo I,2,MY24
3400113Y0210,Testina sterzo,2,MY24
3400111Y0230,Corpo scatola guida con tirante interno,1,MY24
3400116Y0210,Copertura antipolvere,2,MY24
16850006,Fascetta copertura antipolvere,2,MY24
16812004,Collare tubo copertura antipolvere,2,MY24
3400115Y0210,Manicotto sigillante,1,MY24
3400114Y0210,Base sigillante,1,MY24
2801100Y0240,Assieme telaio ausiliario anteriore,1,MY24
3501102Y0230,Assieme freno anteriore destro con fusello sterzo,1,MY24
3501101Y0230,Assieme freno anteriore sinistro con fusello sterzo,1,MY24
3501112Y0230,Fusello sterzo sinistro con albero intermedio,1,MY24
3501113Y0230,Assieme pinza freno sinistra,1,MY24
3501122Y0230,Fusello sterzo destro con albero intermedio,1,MY24
3501123Y0230,Assieme pinza freno destra,1,MY24
3501114Y0230,Unità mozzo ruota con corona ABS,2,MY24
3501111Y0230,Disco freno,2,MY24
3501115Y0230,Pastiglia freno anteriore esterna,2,MY24
3501117Y0240,Bullone montaggio staffa pinza (con flangia),4,MY24
3501118Y0240,Dado centrale,2,MY24
3501120Y0240,Copertura terminale,2,MY24
3501116Y0230,Pastiglia freno anteriore interna sinistra,1,MY24
3501126Y0230,Pastiglia freno anteriore interna destra,1,MY24
Z2912100Y0230,Assieme asse posteriore con cavo freno stazionamento,1,MY24
2912101Y0230,Tamburo freno,2,MY24
2912102Y0230,Assieme freno destro,1,MY24
2912103Y0230,Assieme semiasse,2,MY24
2912104Y0230,Paraolio semiasse,2,MY24
2912105Y0230,Assieme carcassa asse posteriore,1,MY24
2912106Y0230,Assieme freno sinistro,1,MY24
2912107Y0230,Assieme riduttore finale,1,MY24
2912108Y0230,Bullone collegamento freno,8,MY24
2912109Y0230,Rondella 10,8,MY24
2912110Y0230,Dado collegamento freno,8,MY24
2912111Y0230,Dado collegamento riduttore finale M8,8,MY24
2912112Y0230,Rondella 8,8,MY24
2912113Y0230,Valvola sfiato,1,MY24
2912114Y0230,Assieme tappo scarico,1,MY24
2912115Y0230,Guarnizione tappo scarico,1,MY24
2912116Y0230,Guarnizione tappo riempimento,1,MY24
2912117Y0230,Tappo riempimento,1,MY24
2912118Y0230,Assieme ganasce freno sinistra,1,MY24
2912119Y0230,Assieme ganasce freno destra,1,MY24
2103010Y0250,Motore di trazione,1,MY24
2103020Y0240,Staffa cablaggio trifase motore,1,MY24
2108010Y0250,Assieme VCU,1,MY24
2105040Y0230,Cavo conversione PTC & compressore,1,MY24
2105050Y0230,Cablaggio alta tensione sistema ausiliario,1,MY24
2105020Y0230,Cablaggio commutazione alta tensione sistema ausiliario,1,MY24
2107020Y0230,Presa di ricarica (EN),1,MY24
2107060Y0230,Assieme tre?in?uno,1,MY24
2107061Y0230,Staffa superiore sinistra tre?in?uno,1,MY24
2107062Y0230,Staffa inferiore tre?in?uno,1,MY24
2107063Y0230,Staffa superiore destra tre?in?uno,1,MY24
S18406004,Bullone flangiato esagonale M6*16*P1 zincatura nera 8.8,6,MY24
2107064Y0230,Microswitch 63A,2,MY24
Z2101100Y0230,Dispositivo scatola batteria di potenza,1,MY24
Z2101100Y0280,Dispositivo scatola batteria di potenza,1,MY24
210101AY0230,Cablaggio negativo batteria,1,MY24
2101019Y0230,Cablaggio positivo batteria,1,MY24
210101DY0230,Tappo gomma passaggio cavi batteria positivo/negativo,2,MY24
Z2109100Y0230,Assieme scatola alta tensione,1,MY24
2109010Y0230B,Scatola alta tensione,1,MY24
2101518Y0240,Shunt,1,MY24
2109011Y0250,Assieme involucro scatola alta tensione,1,MY24
2109015Y0250,Relè 150A,1,MY24
2109018Y0250,Fusibile ritardato 300A,1,MY24
2101515Y0240,Fusibile riscaldamento,1,MY24
2109112Y0250,Resistenza precarica 25? 60W,1,MY24
2109113Y0250,Cablaggio comunicazione scatola alta tensione,1,MY24
3601010Y0240,Modulo controllo carrozzeria,1,MY24
3721010Y0240,Clacson alta tonalità,1,MY24
3774010Y0230,Assieme interruttore combinato,1,MY24
3781010Y0250,Interruttore marce,1,MY24
3766010Y0230,Interruttore avviso,1,MY24
3746010Y0240,Interruttore comando alzacristalli,2,MY24
3774020Y0230,Assieme spirale orologio,1,MY24
4002010Y0230,Assieme cablaggio vano anteriore,1,MY24
4002020Y0230,Assieme cablaggio tetto,1,MY24
4002030Y0240,Assieme cablaggio porta sinistra,1,MY24
4002040Y0240,Assieme cablaggio porta destra,1,MY24
4003010Y0230,Assieme cablaggio principale,1,MY24
4002200Y0230,Assieme cablaggio lato destro,1,MY24
4003020Y0230,Assieme cablaggio cruscotto ausiliario,1,MY24
4013010Y0250,Assieme cablaggio portellone,1,MY24
4013020Y0250,Assieme cablaggio paraurti posteriore,1,MY24
4003011Y0210,Staffa cablaggio principale,1,MY24
S14606121,Bullone testa esagonale con rondella elastica e rondella piana M6*12*P1 Dacromet argento 8.8,1,MY24
5207030Y0240,Tubo lavaggio,1,MY24
5207010Y0240,Assieme serbatoio lavaggio,1,MY24
5207020Y0240,Cappuccio polvere bocchettone serbatoio lavaggio,1,MY24
S99006201,Bullone testa esagonale con rondella elastica e rondella piana larga M6*20*P1 Dacromet nero 8.8,2,MY24
3820050Y0205,Interruttore volante,1,MY24
3820010Y0205,Assieme antenna GPS e antenna radio,1,MY24
7911010Y0241,Altoparlante,2,MY24
3820021Y0205,Unità principale,1,MY24
3820022Y0205,Schermo LCD,1,MY24
7925020Y0240,USB cruscotto ausiliario,1,MY24
7925030Y0240,USB quadro strumenti,1,MY24
3820010Y0230,Assieme antenna radio e navigazione,1,MY24
3820011Y0230,Staffa montaggio antenna,1,MY24
8103010Y0230,Assieme compressore elettrico,1,MY24
8103011Y0230,Assieme staffa compressore elettrico,2,MY24
8108020Y0230,Tubo scarico compressore,1,MY24
8108040Y0230,Assieme linea refrigerazione,1,MY24
5306153Y0210,Etichetta specifiche ventola condensatore,1,MY24
5306154Y0230,Etichetta refrigerante climatizzatore,1,MY24
S18608007,Bullone flangiato esagonale M8*150 Dacromet argento,2,MY24
8112010Y0240,Assieme pannello controllo climatizzatore,1,MY24
7925041Y0210,Antenna GPS+4G,1,MY24
3703010Y0230,Batteria 12V,1,MY24
6301711Y0240,Piastra rinforzo cerniera portellone sinistra,1,MY24
6301713Y0240,Piastra rinforzo cerniera portellone destra,1,MY24
6301591Y0240,Assieme staffa montaggio serratura portellone,1,MY24
5101571Y0240,Assieme staffa montaggio trave torsionale,1,MY24
5101272Y0240,Staffa superiore montaggio condensatore,2,MY24
S18608201,Bullone flangiato esagonale con guida M8*20*P1.25 Dacromet argento classe 8.8,2,MY24
5133832Y0280,Staffa montaggio paraurti posteriore,1,MY24
