Part Number,Part Name,Model
Q1460816,Hexagon head bolt spring washer and plain washer assy,MY22 MY22.5
8208130-Y01,Retroreflector System,MY22
8200150-Y01,Welcome pedal assembly,MY22
8204001-Y01,Sun visor system,MY22
5810001-Y01,Seat belt system,MY22
8201001-Y01,Inner Rear-view Mirror System,MY22
5305010-Y01,Auxiliary dashboard accessories assy,MY22
8104010-Y01,Ventilating grill assy,MY22
8104011-Y01,Ventilating grill,MY22
6105300-Y01,Inner Handle System,MY22
6800100-Y01,Seat system,MY22
6800010-Y01,Front left seat assembly,MY22 MY22.5
6900010-Y01,Front right seat assembly,MY22 MY22.5
6800101-Y01,Trim cover seat bracket,MY22 MY22.5
Q1860825,Hexagon bolt with flange,MY22 MY22.5
Q402B08F62,Gasket mounting bolt seat,MY22
3900010-Y01,On-vehicle Tool System,MY22
5528250-Y01,Draw cord map pocket door assy,MY22
5528013-Y01,Draw cord assy map pocket door,MY22 MY22.5
5528015-Y01,Net bag front passenger,MY22 MY22.5
S29404001,Cross-recessed half-round large head self-tapping screw,MY22 MY22.5
6101900-Y01,Door Waterproof Membrane Assy,MY22
8200100-Y01,Lifter rubber block system,MY22
5306150-Y01,Vehicle Identification Assy,MY22
5306153-Y01,Specification label of condenser fan,MY22 MY22.5
5306154-Y01,A/C refrigerant label,MY22 MY22.5
5306163-Y01,Tire label - 14 ,MY22 MY22.5
5306164-Y01,Tire label - 15 ,MY22 MY22.5
4100000-Y01,Lights System,MY22
4108010-Y01,License light assembly,MY22 MY22.5
4123010-Y01,Ceiling light,MY22 MY22.5
4133010-Y01-B,Rear left combination light assy,MY22
4133010-Y01-A,Rear left combination light assy,MY22
ZH860,Tail light buckle,MY22 MY22.5
4133020-Y01-B,Rear right combination light assy,MY22
4133020-Y01-A,Rear right combination light assy,MY22
5702001-Y01,Roof system,MY22
5702010-Y01D,Roof cover assembly,MY22
5702015-Y01,Butyl rubber adhesive tape for waterproof and sealing,MY22 MY22.5
5702017-Y01,Waterproof sealing washer roof cover,MY22 MY22.5
802011,Sealant front windscreen (soft),MY22
5400009-Y01,Exterior System Side Wall ,MY22
5400010-Y01D,Trim panel assy front upper section left wall,MY22 MY22.5
5400030-Y01D,Trim panel assy rear upper section left wall,MY22 MY22.5
5400331-Y01,Left side body outer small trim,MY22
5400332-Y01,Left side body inner small trim,MY22
5400020-Y01D,Trim panel assy front upper section right wall,MY22 MY22.5
5400040-Y01D,Trim panel assy rear upper section right wall,MY22 MY22.5
5400341-Y01,Right side body outer small trim,MY22
5400342-Y01,Right side body inner small trim,MY22
8403100-Y01,fender  system,MY22
5302000-Y01,Front Windshield Lower Trim Panel System,MY22
5302003-Y01,Front flow flume body,MY22
8402500-Y01,Hood Trim System,MY22
B8402510-Y01D,Front hood assy,MY22
8402517Y01A,Left mount hood,MY22
8402518Y01A,Right mount hood,MY22
5302010-Y01,Cover plate assy front charging port,MY22
5302011-Y01D,Cover plate front charging port,MY22 MY22.5
5302013-Y01,Inner plate front charging port,MY22
5302015-Y01,Front charging port base,MY22
5302017-Y01,Rotating shaft front charging port,MY22
Q5002525,Split pin,MY22
Z054,spring,MY22
5302030-Y01,Front charging port base assy,MY22 MY22.5
2803000-Y01,Front bumper system,MY22
2803010-Y01D,Front bumper body assy,MY22 MY22.5
2803001-Y01D,Front bumper body,MY22 MY22.5
Z039,Screw,MY22 MY22.5
2804500-Y01,Rear bumper system,MY22
2804520-Y01D,Movable door assy rear bumper,MY22 MY22.5
2804515-Y01,Anti-theft bolt M8*45,MY22 MY22.5
2804507,?25 blanking cap,MY22 MY22.5
5306001-Y01,Dashboard System,MY22
5306131-Y01,Instrument Panel,MY22 MY22.5
5306104-Y01,Air duct central air outlet,MY22 MY22.5
5306136-Y01,Left defrosting duct,MY22 MY22.5
5306141-Y01,Right defrosting duct,MY22 MY22.5
5306030-Y01,Front defrost assembly,MY22 MY22.5
5306002-Y01,Combination Switch Shield System,MY22
3774011-Y01,Steering shield-upper,MY22 MY22.5
3774013-Y01,Steering shield-lower ,MY22 MY22.5
5305001-Y01,Auxiliary Dashboard System,MY22
5402001-Y01,Column Guard Panel System,MY22
5402021-Y01,Guard panel inside front right wall side wall,MY22 MY22.5
5703001-Y01,Interiors and Ceiling System,MY22
6102001-Y01,front door system,MY22
6102071-Y01,Trim panel front window left door,MY22 MY22.5
6102075-Y01D,Left door outer panel,MY22 MY22.5
6102073-Y01D,Left door upper trim panel,MY22 MY22.5
6102011-Y01,Left door inner panel,MY22 MY22.5
6102079-Y01,Mounting plate PE Switch,MY22 MY22.5
6102081-Y01,Trim panel front window right door,MY22 MY22.5
6102076-Y01D,Right door outer panel,MY22 MY22.5
6102040-Y01,Right door inner panel assembly,MY22 MY22.5
6102021-Y01,right door Inner panel,MY22 MY22.5
6302001-Y01,Tailgate system,MY22
6302010-Y01,Tailgate assembly,MY22 MY22.5
3100107-Y01,Steel rim trim cover,MY22 MY22.5
3100108-Y01,Steel rim trim cover steel rim,MY22 MY22.5
5200010-Y01,Windshield Glass System,MY22
5109100-Y01,Carpet system,MY22
5109101-Y01,Carpet body,MY22 MY22.5
5109106-Y01,Insulator cushion I carpet,MY22 MY22.5
5109107-Y01,Insulator cushion II carpet,MY22 MY22.5
5109108-Y01,Insulator cushion III carpet,MY22 MY22.5
2101010Y0205,Power battery box,MY22.5
2101014-Y01,Battery box assembly,MY22.5
210101AY0205,Battery negative wiring harness,MY22.5
210101CY0205,Battery box communication wiring harness,MY22.5
2101020Y0205,Power battery module,MY22.5
2101011Y0205,Battery sampling unit? BSU?,MY22.5
2109013Y0205,Left mounting bracket BSU        ,MY22.5
2109014Y0205,Rightt mounting bracket BSU        ,MY22.5
2109010Y0205,Control box power system (formerly HV box),MY22.5
2109011Y0205,Power system control box body,MY22.5
2101012Y0205,HV sampling case,MY22.5
2109113Y0205,Communications wiring harness high-voltage box,MY22.5
2105030Y0205,High voltage wiring harness auxiliary system,MY22.5
2107020Y0200,European standard charging base,MY22.5
2108010Y0205,Vehicle control unit,MY22.5
3601010Y0205,Body control module?BCM?,MY22.5
4002010Y0205,auxi,MY22.5
4003010Y0205,Main wiring harness assy,MY22.5
4003020Y0205,Auxiliary dashboard wiring harness assy,MY22.5
8103011Y0205,Bracket gp-electric compressor,MY22.5
8105010Y0205,Condenser assembly,MY22.5
8108010Y0205,Compressor suction pipe (EU filler),MY22.5
8108020Y0205,Compressor exhaust pipe,MY22.5
8108030Y0205,Fluid inlet pipe evaporation tank,MY22.5
8112010Y0205,Air conditioning control panel assembly,MY22.5
Q38312,II type Hexagon slotted nut,MY22.5
Q5003222,Split pin,MY22.5
Q67405150,Plastic fastening strip,MY22.5
5010010Y0205,Body-in-white frame assy,MY22.5
5101210Y0205,Framework assy front compartment,MY22.5
5301000Y0205,Front wall assy,MY22.5
Q2620625,Cross groove pan-headed screw M5 16,MY22.5
8402510-Y01D,Front hood assy,MY22.5
3508100Y0230,Parking control handle,MY24
3508200Y0230,Front parking cable,MY24
3508300Y0230,Left parking cable,MY24
3508400Y0230,Right parking cable,MY24
S99035001,Universal pipe clamp ?20?10,MY24
3540102Y0240-Z001,Vacuum tank with sensor assembly,MY24
3540103Y0240-Z001,Electronic vacuum pump with exhaust pipe assembly,MY24
3540104Y0240,Vent hose electronic vacuum pump,MY24
3540400Y0240,Vacuum hose,MY24
S18406002,Hexagon flange face bolts M6*45 Silver Dacromet,MY24
3506011Y0240,First out of the oil hard tube,MY24
3506012Y0240,The second oil out of the hard tube,MY24
3506013Y0240,Front left brake pipe,MY24
3506014Y0240,Front right brake pipe,MY24
3506015Y0240,Rear left brake hard tube I,MY24
3506016Y0240,Rear right brake hard tube I,MY24
3506100Y0230,Front left brake hose,MY24
3506116Y0240,Single hole pipe clip,MY24
3506200Y0230,Front right brake hose,MY24
3550300Y0240,Front left wheel speed sensor,MY24
3550400Y0240,Front right wheel speed sensor,MY24
3506113Y0240,Double-hole pipe clip,MY24
3506300Y0240,Rear brake hose assembly,MY24
3506020Y0230,Rear brake hard tube III,MY24
3506017Y0240,Rear left brake hard tube II,MY24
3506018Y0240,Rear right brake hard tube II,MY24
3550500Y0240B,Rear left wheel speed sensor,MY24
3550600Y0240B,Rear right wheel speed sensor,MY24
3550100Y0230,ABS controller assembly,MY24
3569100Y0240,Brake pedal assy,MY24
3540113Y0210,Brake fluid tank cap,MY24
2914300Y0240,Thrust rod assy,MY24
S18512901,Hexagon flange bolt M12*90*P1.25 Silver Dacromet 10.9 class,MY24
3100101Y0230,Tire (155/70-R13),MY24
3100106Y0230,13 inch steel wheel,MY24
3100102Y0240,Inflating valve (TR418),MY24
5306163Y0230,Tire tag -13 inches,MY24
3100101Y0241,Tire  (155/60-R15),MY24
3100102Y0241,Inflating valve (TR413),MY24
5306164Y0210,Tire label - 15 ,MY24
Z3400104Y0240,Steering wheel with switch assembly,MY24
3400104Y0240,Steering wheel assembly,MY24
3400135Y0230,Horn hood,MY24
3400102Y0230,Steering lower shaft assy,MY24
Q32312F61,Steering wheel nut,MY24
3400161Y0210,Steering column and motor,MY24
3400162Y0210,Universal joint steering column,MY24
Q1420830T13F61,Hexagon head bolt and spring washer assembly,MY24
3400166Y0210,Hexagon head bolt spring washer and plain washer assy,MY24
3400165Y0210,EPS Controller bracket,MY24
3400164Y0210,EPS Controller,MY24
S18608006,Hexagon flange bolt M8*70 color zinc T,MY24
3400101Y0230,Steering gear with tie rod assembly,MY24
S50032002,Split pin,MY24
Q381B12,Type I hexagon slotted nut,MY24
3400113Y0210,Steering wheel ball head,MY24
3400111Y0230,Steering gear body with inner tie rod,MY24
3400116Y0210,Dust cover,MY24
16850006,Dust cover clamp,MY24
16812004,Dust cover tube collar,MY24
3400115Y0210,Sealant sleeve,MY24
3400114Y0210,Sealed base,MY24
2801100Y0240,Front auxiliary frame assy,MY24
3501102Y0230,Front right brake with steering knuckle assy,MY24
3501101Y0230,Front left brake with steering knuckle assy,MY24
3501112Y0230,Left steering knuckle belt intermediate shaft,MY24
3501113Y0230,Left brake caliper assy,MY24
3501122Y0230,Right steering knuckle with intermediate shaft,MY24
3501123Y0230,Right brake caliper assy,MY24
3501114Y0230,Wheel hub unit with ABS gear ring,MY24
3501111Y0230,Brake disc,MY24
3501115Y0230,Front outer Brake lining,MY24
3501117Y0240,Caliper bracket mounting bolt (with flange),MY24
3501118Y0240,Center nut,MY24
3501120Y0240,End cover,MY24
3501116Y0230,Front left inner Brake lining,MY24
3501126Y0230,Front right inner Brake lining,MY24
Z2912100Y0230,Rear drive axle with parking cable assembly,MY24
2912101Y0230,Brake drum,MY24
2912102Y0230,Right brake assembly,MY24
2912103Y0230,Shaft assembly,MY24
2912104Y0230,Oil seal for half shaft,MY24
2912105Y0230,Rear axle housing assembly,MY24
2912106Y0230,Left brake assy,MY24
2912107Y0230,Final drive assy,MY24
2912108Y0230,Brake connection bolt,MY24
2912109Y0230,Washer 10,MY24
2912110Y0230,Brake connection nut,MY24
2912111Y0230,Final drive connection nut M8,MY24
2912112Y0230,Washer 8,MY24
2912113Y0230,Breather valve,MY24
2912114Y0230,Drain plug assembly,MY24
2912115Y0230,Drain plug gasket,MY24
2912116Y0230,Filler plug gasket,MY24
2912117Y0230,Filler plug,MY24
2912118Y0230,Left brake shoe assembly,MY24
2912119Y0230,Right brake shoe assembly,MY24
2103010Y0250,Drive motor,MY24
2103020Y0240,Motor three-phase wire harness bracket,MY24
2108010Y0250,VCU assembly,MY24
2105040Y0230,PTC& Compressor conversion cable,MY24
2105050Y0230,High voltage wiring harness auxiliary system,MY24
2105020Y0230,High voltage switching harness auxiliary system,MY24
2107020Y0230,Charging socket (EN),MY24
2107060Y0230,Three-in-one assembly,MY24
2107061Y0230,Three-in-one upper left bracket,MY24
2107062Y0230,Three-in-one lower bracket,MY24
2107063Y0230,Three-in-one upper right bracket,MY24
S18406004,Hexagon flange bolt M6*16*P1 Black zinc 8.8 grade,MY24
2107064Y0230,63A fuse,MY24
Z2101100Y0230,Power Battery Box device,MY24
Z2101100Y0280,Power Battery Box device,MY24
210101AY0230,Battery negative wiring harness,MY24
2101019Y0230,Battery positive wiring harness,MY24
210101DY0230,The positive and negative battery wires pass through the hole rubber plug,MY24
Z2109100Y0230,High voltage box assembly,MY24
2109010Y0230B,High voltage box,MY24
2101518Y0240,Shunt,MY24
2109011Y0250,High-voltage box casing assy,MY24
2109015Y0250,150A relay,MY24
2109018Y0250,300A slow-blow fuse,MY24
2101515Y0240,Heating fuse,MY24
2109112Y0250,25?60W precharged resistor,MY24
2109113Y0250,Communications wiring harness high-voltage box,MY24
3601010Y0240,Body control module,MY24
3721010Y0240,High pitch horn,MY24
3774010Y0230,Combination switch assembly,MY24
3781010Y0250,Shift switch,MY24
3766010Y0230,Warning switch,MY24
3746010Y0240,Windows regulator control switch,MY24
3774020Y0230,Clock spring assembly,MY24
4002010Y0230,Front compartment wiring harness assy,MY24
4002020Y0230,Roof wiring harness assy,MY24
4002030Y0240,Left door wiring harness assy,MY24
4002040Y0240,Right door wiring harness assy,MY24
4003010Y0230,Main wiring harness assy,MY24
4002200Y0230,Right body wiring harness assy,MY24
4003020Y0230,Auxiliary dashboard wiring harness assy,MY24
4013010Y0250,Tailgate wiring harness assy,MY24
4013020Y0250,Rear bumper harness assy,MY24
4003011Y0210,Bracket main wiring harness,MY24
S14606121,Hexagon head bolt spring washer and flat washer assembly M6*12*P1 Silver Dacromet 8.8,MY24
5207030Y0240,Washing hose,MY24
5207010Y0240,Washing Kettle Assembly,MY24
5207020Y0240,Dust cap for filling port of washing kettle,MY24
S99006201,Hexagon head bolt spring washer and large flat washer assembly M6*20*P1 Black Dacromet 8.8,MY24
3820050Y0205,Steering wheel switch,MY24
3820010Y0205,GPS antenna and radio antenna assembly,MY24
7911010Y0241,Speaker,MY24
3820021Y0205,Host machine,MY24
3820022Y0205,Liquid crystal screen,MY24
7925020Y0240,USB assy auxiliary dashboard,MY24
7925030Y0240,USB assy Instrument panel,MY24
3820010Y0230,Radio and navigation antenna assembly,MY24
3820011Y0230,Antenna mounting bracket,MY24
8103010Y0230,Electric compressor assembly,MY24
8103011Y0230,Electric compressor bracket assy,MY24
8108020Y0230,Compressor exhaust pipe,MY24
8108040Y0230,Refrigeration line assembly,MY24
5306153Y0210,Specification label condenser fan,MY24
5306154Y0230,Refrigerant label air conditioning,MY24
S18608007,Hexagon flange face bolt M8*150 silver Dacromet,MY24
8112010Y0240,Air conditioning control panel assembly,MY24
7925041Y0210,GPS+4G antenna,MY24
3703010Y0230,12V Battery,MY24
6301711Y0240,Back door hinges reinforce plate left assembly,MY24
6301713Y0240,Back door hinges reinforce plate right assembly,MY24
6301591Y0240,Taildoor lock mounting bracket assembly,MY24
5101571Y0240,Torque beam mounting bracket assembly,MY24
5101272Y0240,Upper mounting bracket condenser,MY24
S18608201,Hexagon flange bolt with guide M8*20*P1.25 Silver Dacromet 8.8 class,MY24
5133832Y0280,Rear bumper mounting bracket ?,MY24
5101850-Y01,Front suspension spring reinforced beam outer plate assembly - left,MY24
5101860-Y01,Front suspension spring strengthens beam outer plate assembly - right,MY24
5133834Y0280,Rear bumper mounting bracket ?,MY24
5701090-Y01,Top stringer assembly,MY24
5701011-Y01,Cover the front cross beam on the cover,MY24
5701030-Y01,Roof front beam lower plate assembly,MY24
5701020Y0240,Top cover rear beam assembly,MY24
5601112Y0280,Top cover rear beam assembly,MY24
5401111-Y01,Left side outer panel,MY24
5401110-Y01,Rear bumper mounting bracket assembly- left,MY24
5401150-Y01,Left side surrounding rear flow sink assembly,MY24
5101551-Y01,Integrated mounting bracket,MY24
5401810-Y01,Door latch mounting plate assembly left,MY24
5401301-Y01,Left pillar A reinforcing plate,MY24
5401303-Y01,Left pillar A strengthens the upper plate segment,MY24
5401310-Y01,Upper left hinge reinforced plate assembly,MY24
5401330-Y01,Left lower hinge reinforced plate assembly,MY24
5401313Y0230,Headlight bracket ? - left assembly,MY24
5401011-Y01,Left roof front beam connecting plate,MY24
5401015-Y01,Left top side beam inner plate,MY24
5401017-Y01,Left posterior medial segment,MY24
5401710Y0240,Upper section assy left side inner panel around rear,MY24
5701037Y0240,Rear hinge reinforcing plate left,MY24
5401713Y0240,Seat belt nut plate assembly,MY24
5401240Y0230,Inner panel assy right doorsill,MY24
5401112-Y01,Right side outer panel,MY24
5401120-Y01,Rear bumper mounting bracket assembly- right,MY24
5401160-Y01,Right side surrounding rear flow sink assembly,MY24
5401820-Y01,Right door latch mounting plate assembly,MY24
5401302-Y01,Right A-pillar reinforced plate,MY24
5401304-Y01,Right pillar A strengthens the upper plate segment,MY24
5401320-Y01,Right upper hinge reinforcing plate assembly,MY24
5401340-Y01,Lower right hinge reinforcing plate assembly,MY24
5401413Y0230,Headlight bracket ? - right assembly,MY24
5401012-Y01,Right top front beam connecting plate,MY24
5401016-Y01,Right top side beam inner plate,MY24
5401018-Y01,Right side surrounding inferior posterior inner plate,MY24
5401810Y0240,Upper panel assembly right side perimeter back inner panel,MY24
5701038Y0240,Rear hinge reinforced plate right,MY24
5130158Y0240,Battery bottom skeleton beam ? - left,MY24
5130258Y0240,Battery bottom skeleton beam ? - right,MY24
5101790Y0230,Middle floor lower beam assy ?,MY24
5301037-Y01,Mounting bracket assembly on the lower right of the front wall,MY24
5101503-Y01,Rear repair cover plate support plate,MY24
5101803-Y01,Rear floor seal - Left,MY24
5101804-Y01,Back floor seal - Right,MY24
5601130-Y01,Rear inner panel assembly,MY24
5101950Y0230,Center floor seal assembly - left,MY24
5101960Y0230,Middle floor seal assembly - right,MY24
5101801-Y01,Seat back sealing plate,MY24
5101751-Y01,Bucket body,MY24
5101753-Y01,Bucket seal plate - left,MY24
5101745Y0230,Bucket seal plate - right assembly,MY24
5102630-Y01,Seat reinforced front beam assembly,MY24
5102620Y0250,Seat reinforcement rear beam assembly,MY24
5101331Y0230,Auxiliary dashboard mounting front bracket assembly,MY24
5101341Y0230,Auxiliary dashboard mounting rear bracket assembly,MY24
5101759Y0230,Handbrake mounting bracket assembly,MY24
5130100Y0250,Rear left stringer assembly,MY24
5130200Y0250,Rear right stringer assembly,MY24
5130710Y0240,Rear floor skeleton beam ? assembly,MY24
5130301Y0240,Rear floor skeleton stringer ? - left assembly,MY24
5130401Y0240,Rear floor skeleton stringer ? - right assembly,MY24
5130156Y0240,Rear left floor frame stringer ? patch plate,MY24
5130256Y0240,Rear right floor frame stringer ? patch,MY24
5301120Y0210,Accelerator pedal mounting bracket assembly,MY24
5301400-Y01,Front wheel cover - right assembly,MY24
5301300-Y01,Front wheel cover - left assembly,MY24
5101739Y0210,Steering column mounting base,MY24
5101731-Y01,Middle floor body,MY24
5101480Y0240,Front outer plate assembly Front right stringer,MY24
5101490Y0240,Front outer plate assembly Front left stringer,MY24
5101573-Y01,Front suspension spring strengthens inner beam plate - left,MY24
5101311-Y01,Front suspension spring support upper plate - left,MY24
5101131Y0240,Front suspension spring support lower plate - left assembly,MY24
5101577Y0240,Front wheel cover connection plate - left assembly,MY24
5101710-Y01,Headlight mounting bracket II - Left assembly,MY24
5101574-Y01,Front suspension spring strengthens inner beam plate - right,MY24
5101141Y0240,Front suspension spring support lower plate - right assembly,MY24
5101143Y0240,Front wheel cover connection plate - right assembly,MY24
5101720-Y01,Headlight mounting bracket II - right assembly,MY24
5101312-Y01,Front suspension spring support upper plate - right,MY24
5101933-Y01,Rear brake hose bracket,MY24
5101470Y0230,Front frame left stringer assembly,MY24
5101390Y0230,Front frame right stringer assembly,MY24
5101820Y0240,Charging socket lower beam assembly,MY24
5101830Y0240,Charging socket upper beam assembly,MY24
5101291Y0240,Front protection mounting bracket - right component,MY24
5101283Y0240,Front protection mounting bracket - left assembly,MY24
5101287Y0240,Front protection mounting bracket connecting plate left assembly,MY24
5101297Y0240,Front protection mounting bracket connecting plate right assembly,MY24
5301110Y0240,Front wall body assembly,MY24
5301151-Y01,Brake pump mounting plate,MY24
5301165Y0210,Air conditioning host small bracket assembly,MY24
5301153Y0250,Front wall upper left reinforcing plate assembly,MY24
5101174-Y01,Middle floor lower beam sealing plate,MY24
5101178Y0240,Stringer reinforcing plate middle left,MY24
5101278Y0240,Stringer reinforcing plate middle right,MY24
5101650Y0240,Middle floor lower stringer left assembly,MY24
5103760Y0240,Middle floor rear beam assembly,MY24
5101770Y0240,Middle floor lower beam assembly ?,MY24
5101910Y0240,Rear left swing arm mounting base assembly,MY24
5101920Y0240,Rear right swing arm mounting base assembly,MY24
5101981Y0240,Beam connector ? left assembly,MY24
5101991Y0240,Beam connector ? right assembly,MY24
5130128Y0240,Rear brake hose bracket left ?,MY24
5104760-Y01,Middle floor lower beam assembly ?,MY24
5101175Y0230,Handbrake wire fixed bracket,MY24
5301190Y0240,Front wall reinforcement beam assembly,MY24
5301103Y0240,Front wall reinforcement under beam assembly,MY24
5301140Y0205,Brake pedal mounting bracket ? assembly,MY24
5301050Y0250,Right wiper mounting bracket assembly,MY24
5301510-Y01,Wiper holder assembly,MY24
5301530-Y01,Front windshield upper beam assembly,MY24
5301570Y0240,Front windshield lower beam assembly,MY24
5301039-Y01,Upper mounting bracket reinforcing plate the steering column,MY24
5301541-Y01,Upper mounting bracket assembly steering column,MY24
5301971Y0230,VCU mounting bracket assembly,MY24
5101125Y0230,Underfloor protection panel mounting bracket assembly,MY24
S37110003,Rectangular nut M10*1.25 Dacromet 10 class,MY24
5133812Y0250,Battery lower skeleton beam ?,MY24
5133820Y0280,Battery lower skeleton beam assembly,MY24
5133992Y0210B,Front cover plate power battery box,MY24
5133820Y0250,Battery lower skeleton beam assembly,MY24
5109105-Y01B,Footrest pad,MY24
B5305040Y0230,Armrest assy,MY24
5305065Y0230,Rubber pad,MY24
5305064Y0230D,Left trim panel Armrest,MY24
5305066Y0230D,Right trim panel Armrest,MY24
5306020Y0240,Upper Body assembly instrument panel,MY24
5306134Y0240,Storage box instrument panel,MY24
5306140-Y01,Right tuyere assy,MY24
5306151Y0240D,Instrument mask,MY24
5306040Y0210,Lower body assembly instrument panel,MY24
5306208Y0230,Instrument front pad,MY24
5402011Y0230,Guard panel inside front left wall side wall,MY24
5703011Y0240,Roof ceiling interior,MY24
5703021Y0240,Service opening cap left hinge tailgate,MY24
5703022Y0240,Service opening cap right hinge tailgate,MY24
6102031Y0240D,Intermediate left trim panel,MY24
6102021Y0260,Right door Inner panel,MY24
6102041Y0240D,Intermediate right trim panel,MY24
6102050Y0260,Hidden hook,MY24
6302011Y0250,Tailgate,MY24
6302016Y0240,Service cover,MY24
5109101Y0230,Carpet body,MY24
5109150Y0230,Access panel,MY24
5109103Y0230,Trunk cover plate,MY24
5305010Y0230,Auxiliary dashboard body assembly,MY24
5305016Y0230,Auxiliary dashboard lower trim body,MY24
5305013Y0230,Cup pad,MY24
5305014Y0230,Middle storage box pad,MY24
5305017Y0230D,Spray paint panel assembly auxiliary dashboard,MY24
3102111Y0240,Guard panel front left wheel cowling,MY24
3102112Y0240,Guard panel front right wheel cowling,MY24
3102113Y0240,Guard panel rear left wheel cowling,MY24
3102117Y0240,Side trim panel rear left wheel cowling,MY24
3102114Y0240,Guard panel rear right wheel cowling,MY24
3102118Y0240,Side trim panel rear right wheel cowling,MY24
5603100Y0250,Rear windshield glass assy,MY24
5206010Y0240,Front windshield glass,MY24
5107103Y0230,Bottom guard,MY24
3100120Y0230,Steel wheel rim trim cap assy,MY24
5400100Y0240D,Trim panel assy front upper section left wall,MY24
5400300Y0240D,Trim panel assy rear upper section left wall,MY24
5400500Y0260D,Left side small trim assembly,MY24
5400777-Y01,Buckle,MY24
Q221B4213F71,Cross recessed pan head tapping screw and flat washer assembly,MY24
5400773-Y01D,Left lower threshold,MY24
5400315Y0210,Long D-shaped buckle,MY24
5400324Y0210,Waterproof sponge mat,MY24
S99006161,Internal pan head screw and plastic washer assembly M6*16*P1 Black zinc-nickel,MY24
5400783-Y01D,Right lower threshold,MY24
5400200Y0240D,Trim panel assy front upper section right wall,MY24
5400400Y0240D,Trim panel assy rear upper section right wall,MY24
5400600Y0260D,Right side small trim assembly,MY24
5702110Y0240D,Roof cover assembly,MY24
5702301Y0240,Roof cover F-bolt,MY24
5702018Y0240,Waterproof gasket roof cover,MY24
6102500Y0240D,Left door outer panel,MY24
6102073Y0240D,Upper trim panel left door,MY24
6102057Y0260,Metal V-fastener,MY24
6102079Y0240,Mounting plate PE Switch,MY24
6102052Y0240,Mounting bolt outer panel door,MY24
6102507Y0240,Dustproof sponge,MY24
6102055Y0240,A-type reed nut-ST4.2,MY24
6102509Y0240,Felt 100X20X0.7,MY24
6102600Y0240D,Right door outer panel,MY24
6102074Y0240D,Upper trim panel right door,MY24
5306158Y0230,Pro logo,MY24
5302100Y0240,Front wiper cover plate assembly,MY24
5302102Y0240,Washing liquid Filling port Cover (I),MY24
5302200Y0240,Front flow tank body assembly,MY24
5302700Y0210D,Front left combination light upper trim panel,MY24
5302800Y0210D,Front right combination light upper trim panel,MY24
5704100Y0240,Left roof ceiling glass assy,MY24
5701211Y0230,Roof ceiling glass sealing rubber strip - Left,MY24
5704200Y0240,Right Left roof ceiling glass assy,MY24
5701212Y0230,Roof ceiling glass sealing rubber strip - right,MY24
8403101Y0240D,Left fender,MY24
8403107Y0240,Plastic nut seat,MY24
8403105Y0240,Left fender bracket,MY24
8403201Y0240D,Right fender,MY24
8403205Y0240,Right fender bracket,MY24
8403109Y0240,Mushroom Buckle -(Length 25 width 20 thickness 5.5),MY24
2803013Y0240,Mounting bracket front bumper-left,MY24
2803014Y0240,Mounting bracket front bumper-right,MY24
2804100Y0250D,Rear bumper body assy,MY24
2804530Y0210,Sliding door interior trim panel,MY24
2804201Y0240,Mounting bracket rear left bumper,MY24
2804301Y0240,Mounting bracket rear right bumper,MY24
2804101Y0250D,Rear bumper body,MY24
2804102Y0250D,Rear bumper lower trim plate,MY24
4133041Y0240,Rear left retroreflector,MY24
4133042Y0240,Rear right retroreflector,MY24
6302010Y0240D,Upper panel spoiler hood,MY24
6103200Y0240,Windshield assy right door,MY24
6104120Y0230,Electric window regulator assy right door,MY24
6103100Y0240,Windshield assy left door,MY24
6104110Y0230,Electric window regulator assy left door,MY24
6107118Y0230,Outer weather strip right door glass,MY24
6107117Y0230,Outer weather strip left door glass,MY24
6309110Y0240,Air spring,MY24
6309200Y0240,Tailgate hinge,MY24
6309103Y0240,Ball stud air spring,MY24
S99008001,Hexagon flange nut M8 Silver Dacromet,MY24
6309300Y0240,Tailgate buffer block,MY24
6309101Y0240,Mounting bracket pneumatic stay bar tailgate- left,MY24
6309102Y0240,Mounting bracket pneumatic stay bar tailgate- right,MY24
Z6900100Y0230,Front left seat assembly,MY24
Z6900200Y0230,Front right seat assembly,MY24
S40210002,Large washer ?10 black Dacromet,MY24
8201010Y0205,Inner rear-view mirror,MY24
8204010Y0230,Sun visor assembly,MY24
5606032Y0210,Handle front charging port cap lock,MY24
5606033Y0210,Cap lock cable front charging port,MY24
4133010Y0250,Rear left combination light assy,MY24
4133020Y0250,Rear right combination light assy,MY24
6105207Y0260,Trim door lock latch,MY24
5606011Y0205,Electric lock system body tailgate,MY24
4121010Y0210,Front left combination light assy (Thick-walled part of daytime running light),MY24
4121901Y0210,H7 bulb,MY24
4121903Y0210,Rear cover front left combination light,MY24
4121020Y0210,Front right combination light assy (Thick-walled part of daytime running light),MY24
5111020Y0280,Hot melt ?20 hole plug,MY24
5111040Y0280,Hot melt ?40 hole plug,MY24
5107018Y0210,Hole sticker ?25,MY24
5107101Y0240,?25 Special plug cover for sliding and cocking holes,MY24
5302105Y0230,Filler cap tool,MY24
0,,
